================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  [143/5830] HYG chunk 13/530 | 3630 bars | ETA: 17h 37m 15s
  [144/5830] LQD chunk 13/530 | 3630 bars | ETA: 17h 37m 04s
  [145/5830] TLT chunk 13/530 | 3630 bars | ETA: 17h 36m 53s
  [146/5830] GLD chunk 13/530 | 3630 bars | ETA: 17h 36m 41s
  [147/5830] SPY chunk 15/530 | 3864 bars | ETA: 17h 36m 29s
  [148/5830] QQQ chunk 15/530 | 3864 bars | ETA: 17h 36m 18s
  [149/5830] AAPL chunk 15/530 | 3864 bars | ETA: 17h 36m 06s
  [150/5830] NVDA chunk 14/530 | 3846 bars | ETA: 17h 35m 54s
  [151/5830] MSFT chunk 14/530 | 3846 bars | ETA: 17h 35m 43s
  [152/5830] SMCI chunk 14/530 | 3846 bars | ETA: 17h 35m 35s
  [153/5830] IWM chunk 14/530 | 3846 bars | ETA: 17h 35m 23s
  [154/5830] HYG chunk 14/530 | 3846 bars | ETA: 17h 35m 11s
  [155/5830] LQD chunk 14/530 | 3846 bars | ETA: 17h 35m 00s
  [156/5830] TLT chunk 14/530 | 3846 bars | ETA: 17h 34m 50s
  [157/5830] GLD chunk 14/530 | 3846 bars | ETA: 17h 34m 39s
  [158/5830] SPY chunk 16/530 | 4194 bars | ETA: 17h 34m 27s
  [159/5830] QQQ chunk 16/530 | 4194 bars | ETA: 17h 34m 16s
  [160/5830] AAPL chunk 16/530 | 4194 bars | ETA: 17h 34m 04s
  [161/5830] NVDA chunk 15/530 | 4176 bars | ETA: 17h 33m 52s
  [162/5830] MSFT chunk 15/530 | 4176 bars | ETA: 17h 33m 40s
  [163/5830] SMCI chunk 15/530 | 4176 bars | ETA: 17h 33m 38s
  [164/5830] IWM chunk 15/530 | 4176 bars | ETA: 17h 33m 25s
  [165/5830] HYG chunk 15/530 | 4176 bars | ETA: 17h 33m 13s
  [166/5830] LQD chunk 15/530 | 4176 bars | ETA: 17h 33m 04s
  [167/5830] TLT chunk 15/530 | 4176 bars | ETA: 17h 32m 53s
